Time,X,Y
0.5,594.9880676269531,521.7619018554688
1,615.9880676269531,509.76190185546875
1.5,429.9880676269531,396.76190185546875
2,233.98806762695312,238.76190185546875
2.5,67.98806762695312,-11.23809814453125
3,66.98806762695312,24.76190185546875
3.5,89.98806762695312,25.76190185546875
4,121.98806762695312,-78.23809814453125
4.5,110.98806762695312,-29.23809814453125
5,74.98806762695312,7.76190185546875
5.5,106.98806762695312,86.76190185546875
6,152.98806762695312,579.7619018554688
6.5,254.98806762695312,441.76190185546875
7,879.9880676269531,208.76190185546875
7.5,1137.9880676269531,107.76190185546875
8,1012.9880676269531,109.76190185546875
8.5,1128.9880676269531,57.76190185546875
9,1141.9880676269531,27.76190185546875
9.5,1156.9880676269531,11.76190185546875
10,1141.9880676269531,29.76190185546875
10.5,1145.9880676269531,10.76190185546875
11,1134.9880676269531,8.76190185546875
11.5,1182.9880676269531,21.76190185546875
12,1157.9880676269531,16.76190185546875
12.5,1052.9880676269531,20.76190185546875
13,345.9880676269531,-15.23809814453125
13.5,-28.011932373046875,-29.23809814453125
14,200.98806762695312,22.76190185546875
14.5,149.98806762695312,-0.23809814453125
15,145.98806762695312,4.76190185546875
15.5,160.98806762695312,-8.23809814453125
16,200.98806762695312,10.76190185546875
16.5,199.98806762695312,54.76190185546875
17,346.9880676269531,137.76190185546875
17.5,623.9880676269531,164.76190185546875
18,607.9880676269531,318.76190185546875
18.5,474.9880676269531,608.7619018554688
19,402.9880676269531,806.7619018554688
19.5,554.9880676269531,694.7619018554688
20,457.9880676269531,835.7619018554688
20.5,719.9880676269531,590.7619018554688
21,511.9880676269531,617.7619018554688
21.5,182.98806762695312,324.76190185546875
22,35.988067626953125,29.76190185546875
22.5,5.988067626953125,148.76190185546875
23,33.988067626953125,163.76190185546875
23.5,37.988067626953125,119.76190185546875
24,43.988067626953125,20.76190185546875
24.5,591.9880676269531,96.76190185546875
25,737.9880676269531,139.76190185546875
25.5,576.9880676269531,111.76190185546875
26,861.9880676269531,104.76190185546875
26.5,478.9880676269531,429.76190185546875
27,366.9880676269531,731.7619018554688
27.5,321.9880676269531,575.7619018554688
28,369.9880676269531,412.76190185546875
28.5,81.98806762695312,179.76190185546875
29,-70.01193237304688,-40.23809814453125
29.5,429.9880676269531,230.76190185546875
30,926.9880676269531,25.76190185546875
30.5,840.9880676269531,101.76190185546875
31,710.9880676269531,270.76190185546875
31.5,526.9880676269531,649.7619018554688
32,438.9880676269531,779.7619018554688
32.5,422.9880676269531,688.7619018554688
33,495.9880676269531,667.7619018554688
33.5,316.9880676269531,126.76190185546875
34,50.988067626953125,-5.23809814453125
34.5,82.98806762695312,-9.23809814453125
35,509.9880676269531,152.76190185546875
35.5,751.9880676269531,224.76190185546875
36,731.9880676269531,42.76190185546875
36.5,638.9880676269531,442.76190185546875
37,513.9880676269531,846.7619018554688
37.5,513.9880676269531,639.7619018554688
38,503.9880676269531,537.7619018554688
38.5,517.9880676269531,572.7619018554688
39,472.9880676269531,337.76190185546875
39.5,346.9880676269531,-114.23809814453125
40,538.9880676269531,651.7619018554688
40.5,529.9880676269531,579.7619018554688
41,495.9880676269531,743.7619018554688
41.5,140.98806762695312,71.76190185546875
42,20.988067626953125,38.76190185546875
42.5,-27.011932373046875,83.76190185546875
