Time,X,Y,Attention
0,null,null,3
0.2681399942779541,null,null,3
0.5717940076293946,null,null,3
0.875585979019165,null,null,3
1.1735570534057618,null,null,3
1.4759260038146973,null,null,3
1.7750668626708985,null,null,3
2.076394979019165,null,null,3
2.3701940438690188,null,null,3
2.674705933242798,null,null,3
2.9747879561309816,null,null,3
3.2743921831054688,null,null,3
3.577420051498413,null,null,3
4.212636979019165,null,null,3
4.484637053405762,null,null,3
4.715637,null,null,3
5.371141062942505,null,null,3
5.6792450476837155,null,null,3
5.980217998092652,null,null,3
6.277405887466431,null,null,3
6.576744001907349,null,null,3
6.887480089645385,null,null,3
7.179740070571899,null,null,3
7.481790011444092,null,null,3
7.781674973297119,null,null,3
8.078726975204468,null,null,3
8.38456895803833,null,null,3
8.722940982833862,null,null,3
8.98429920980835,null,null,3
9.281080066757202,null,null,3
9.581910925613403,null,null,3
9.894347866485596,null,null,3
10.18207308583069,null,null,3
10.483671923706055,null,null,3
10.779444904632568,null,null,3
11.077002835968017,null,null,3
11.389188148773194,null,null,3
11.680056975204467,null,null,3
11.982563925613404,659.625,871,2
12.28017712588501,476.625,557,2
12.580028118255616,471.625,452,2
12.89413615258789,516.625,375,2
13.19403404196167,444.625,448,0
13.492830959945678,419.625,444,0
13.79589398474121,503.625,280,2
14.083919923706055,518.625,266,0
14.397534990463257,473.625,324,0
14.680927950408936,439.625,350,0
14.993228891281127,438.625,388,0
15.28395698664856,432.625,410,0
15.581855020980836,409.625,591,2
