Time,X,Y,Attention
0,null,null,3
0.14128100953674316,null,null,3
0.21685822506713867,400,383,3
0.3218580057220459,433,292,3
0.41827613732910157,449,286,3
0.512276,472,263,2
0.6182759465942382,467,279,0
0.7215540057220459,449,290,2
0.8195540553131103,439,276,0
0.9115540629425049,432,268,0
1.0205310076293945,419,299,0
1.112531015258789,349,352,2
1.2209789504089354,324,376,2
1.31297895803833,294,423,2
1.4139787901916503,295,422,2
1.515560963760376,345,398,2
1.6245611697540283,373,382,2
1.7205611258850098,398,286,2
1.8148209656677246,411,269,2
1.9248210991821288,430,224,2
2.0180401049041747,439,212,2
2.1130401335144042,417,204,0
2.2190400801086425,408,204,0
2.326933108718872,413,160,2
2.4189331163482666,452,177,2
2.512933217437744,473,253,2
2.6154220591278077,493,296,2
2.710422087738037,486,289,0
2.8121989904632567,483,294,0
2.916199082015991,492,335,2
3.0131992040863036,465,349,0
3.112337118255615,416,300,2
3.2153370438690185,415,307,2
3.316337114440918,442,304,0
3.4153051316070555,453,280,2
3.5273051201629637,609,205,2
3.6222460534057617,636,188,2
3.7132461335144042,695,161,2
3.8132460381469726,715,165,2
3.9118801583099367,664,202,2
4.011880062942505,614,238,2
4.1138800610351565,569,306,2
4.212557809265137,540,312,2
4.322557942779541,493,290,2
4.411689135421753,486,273,2
4.514689061035156,478,273,0
4.615689131607056,486,265,0
4.713175085830689,490,263,0
4.813174990463257,496,279,0
4.911175040054322,501,293,0
5.015565851226807,512,316,2
5.118566015258789,512,310,2
5.212468824523926,512,307,0
5.311468801635742,512,327,2
5.41146894468689,569,316,2
5.518924889373779,659,226,2
5.620924887466431,659,186,2
5.711924967575073,681,100,2
5.817811057220459,667,105,2
5.913811013351441,600,112,2
6.011811062942505,568,123,2
6.112474935150146,462,141,2
6.22147490272522,439,154,2
6.316752034332276,417,151,2
6.410752135421753,388,169,2
6.518751937057496,378,192,2
6.621822005722046,309,272,2
6.719821816894531,301,327,2
6.813821917984009,286,329,2
6.922171040054321,294,322,0
7.015170975204468,330,320,0
7.118039961853027,517,310,2
7.2130399904632565,567,297,2
7.313040133514404,600,275,2
7.412207015258789,644,260,2
7.517207034332276,655,302,2
7.622207053405762,669,290,0
7.718575914169311,672,288,0
7.814575870300293,613,287,2
7.920093877929688,543,271,2
8.014093979019165,527,299,2
8.119093998092652,512,325,2
8.221098078201294,498,326,0
8.315097940872192,473,341,2
8.413097990463257,451,354,0
8.514021965667725,462,363,0
8.611022087738037,462,399,2
8.712926022888183,465,408,2
8.825926177383423,487,412,0
8.918926112533569,492,413,0
9.01235218119812,481,417,0
9.123352003814697,458,411,2
9.217352104904174,434,414,0
9.326632977111817,429,415,0
9.41163301525879,400,356,2
9.526318001907349,413,323,2
9.620317864578247,471,264,2
9.713318038146973,493,257,2
9.815241066757203,521,241,0
9.91424104386902,548,201,2
10.024240938964844,568,152,2
10.11790191416931,557,150,2
10.211902015258788,527,167,2
10.32165388746643,527,180,0
10.413653895095825,531,168,0
10.519654080108642,533,169,0
10.616853036239624,533,210,2
10.725853003814697,529,206,0
10.818853177383422,608,185,2
10.914954131607056,652,171,2
11.020954078201294,663,162,2
11.110804897003174,644,173,0
11.219804864578247,565,255,2
11.315805059127808,530,276,2
11.412438919891358,487,284,2
11.517438938964844,470,287,2
11.611439040054321,461,290,2
11.71728206866455,481,293,0
11.813282024795532,497,266,2
